Chromosome	Start	End	NA	Strand
LRRC8D	chr1	89821014	89936611	NA	+
ZNF326	chr1	89995110	90035533	NA	+
ZNF644	chr1	90915298	91022272	NA	-
CDC7	chr1	91500851	91525764	NA	+
TGFBR3	chr1	91680343	91906335	NA	-
EPHX4	chr1	92029985	92063538	NA	+
SETSIP	chr1	92074533	92075441	NA	-
BTBD8	chr1	92080305	92184725	NA	+
GLMN	chr1	92246402	92298987	NA	-
RPAP2	chr1	92299059	92402056	NA	+
GFI1	chr1	92473043	92486925	NA	-
EVI5	chr1	92508696	92792404	NA	-
RPL5	chr1	92832013	92841924	NA	+
MTF2	chr1	93079235	93139079	NA	+
TMED5	chr1	93149742	93180516	NA	-
CCDC18	chr1	93179919	93278730	NA	+
DR1	chr1	93345907	93369493	NA	+
FNBP1L	chr1	93448118	93554661	NA	+
BCAR3	chr1	93561741	93847150	NA	-
DNTTIP2	chr1	93866284	93879918	NA	-
GCLM	chr1	93885199	93909456	NA	-
ARHGAP29	chr1	94148988	94275068	NA	-
ABCD3	chr1	94418389	94518666	NA	+
F3	chr1	94529173	94541759	NA	-
SLC44A3	chr1	94820342	94895246	NA	+
CNN3	chr1	94896949	94927223	NA	-
ALG14	chr1	94974405	95072951	NA	-
RWDD3	chr1	95234210	95247225	NA	+
PTBP2	chr1	96721665	96823738	NA	+
DPYD	chr1	97077743	97995000	NA	-
SNX7	chr1	98661701	98760500	NA	+
PLPPR4	chr1	99264292	99309590	NA	+
FRRS1	chr1	99703970	99766635	NA	-
AGL	chr1	99850361	99924023	NA	+
SLC35A3	chr1	99969351	100035634	NA	+
MFSD14A	chr1	100038095	100083377	NA	+
SASS6	chr1	100083563	100132955	NA	-
TRMT13	chr1	100133150	100150498	NA	+
LRRC39	chr1	100148448	100178273	NA	-
DBT	chr1	100186919	100249834	NA	-
RTCA	chr1	100266216	100292769	NA	+
CDC14A	chr1	100345001	100520277	NA	+
EXTL2	chr1	100872372	100895179	NA	-
SLC30A7	chr1	100896076	100981757	NA	+
DPH5	chr1	100989623	101026088	NA	-
RNPC3	chr1	103525691	103555239	NA	+
AMY2B	chr1	103553815	103579534	NA	+
PRMT6	chr1	107056674	107067636	NA	+
SLC25A24	chr1	108134043	108200849	NA	-
FAM102B	chr1	108560089	108644900	NA	+
PRPF38B	chr1	108692310	108702928	NA	+
STXBP3	chr1	108746674	108809523	NA	+
GPSM2	chr1	108875350	108934545	NA	+
CLCC1	chr1	108927361	108963504	NA	-
WDR47	chr1	108970214	109042113	NA	-
TAF13	chr1	109062486	109076003	NA	-
TMEM167B	chr1	109090764	109096934	NA	+
CELSR2	chr1	109249539	109275751	NA	+
PSRC1	chr1	109279556	109283186	NA	-
SORT1	chr1	109309568	109397918	NA	-
PSMA5	chr1	109399042	109426448	NA	-
SYPL2	chr1	109466546	109482134	NA	+
ATXN7L2	chr1	109483479	109492804	NA	+
CYB561D1	chr1	109494052	109502932	NA	+
GNAI3	chr1	109548615	109600195	NA	+
GNAT2	chr1	109603091	109619929	NA	-
AMPD2	chr1	109616104	109632051	NA	+
GSTM4	chr1	109656099	109674836	NA	+
CSF1	chr1	109910242	109930992	NA	+
AHCYL1	chr1	109984765	110023742	NA	+
STRIP1	chr1	110031577	110074641	NA	+
ALX3	chr1	110059870	110070672	NA	-
SLC6A17	chr1	110150494	110202202	NA	+
KCNC4	chr1	110210314	110283100	NA	+
RBM15	chr1	110338506	110346681	NA	+
SLC16A4	chr1	110362851	110391082	NA	-
LAMTOR5	chr1	110401249	110407942	NA	-
LRIF1	chr1	110947190	110963965	NA	-
DRAM2	chr1	111117163	111140203	NA	-
CEPT1	chr1	111139627	111185104	NA	+
DENND2D	chr1	111185969	111204535	NA	-
PIFO	chr1	111346600	111353013	NA	+
OVGP1	chr1	111414319	111427735	NA	-
WDR77	chr1	111439890	111449256	NA	-
ATP5PB	chr1	111448864	111462773	NA	+
RAP1A	chr1	111542218	111716691	NA	+
DDX20	chr1	111754832	111775602	NA	+
KCND3	chr1	111770662	111989668	NA	-
CTTNBP2NL	chr1	112396214	112463456	NA	+
WNT2B	chr1	112466541	112530165	NA	+
ST7L	chr1	112523514	112620825	NA	-
CAPZA1	chr1	112619805	112671616	NA	+
MOV10	chr1	112673141	112700746	NA	+
RHOC	chr1	112701127	112707434	NA	-
PPM1J	chr1	112709994	112715477	NA	-
SLC16A1	chr1	112911847	112957593	NA	-
LRIG2	chr1	113073198	113132260	NA	+
MAGI3	chr1	113390515	113685923	NA	+
PHTF1	chr1	113696831	113759489	NA	-
RSBN1	chr1	113761832	113812476	NA	-
AP4B1	chr1	113894194	113905201	NA	-
DCLRE1B	chr1	113905213	113914086	NA	+
HIPK1	chr1	113929324	113977869	NA	+
TRIM33	chr1	114392790	114511203	NA	-
BCAS2	chr1	114567557	114581629	NA	-
DENND2C	chr1	114582848	114670422	NA	-
NRAS	chr1	114704469	114716771	NA	-
CSDE1	chr1	114716913	114758676	NA	-
SIKE1	chr1	114769479	114780685	NA	-
VANGL1	chr1	115641970	115698224	NA	+
SLC22A15	chr1	115976513	116070054	NA	+
ATP1A1	chr1	116372668	116410261	NA	+
CD58	chr1	116514534	116571039	NA	-
IGSF3	chr1	116574399	116667755	NA	-
PTGFRN	chr1	116909916	116990353	NA	+
CD101	chr1	117001750	117036552	NA	+
TTF2	chr1	117060326	117107453	NA	+
TRIM45	chr1	117111060	117122587	NA	-
MAN1A2	chr1	117367449	117528872	NA	+
GDAP2	chr1	117863485	117929621	NA	-
WDR3	chr1	117929720	117966543	NA	+
SPAG17	chr1	117953590	118185228	NA	-
WARS2	chr1	119031216	119140654	NA	-
ZNF697	chr1	119619377	119648266	NA	-
PHGDH	chr1	119648411	119744218	NA	+
NOTCH2	chr1	119911553	120100779	NA	-
SEC22B	chr1	120150898	120176520	NA	-
NBPF26	chr1	120723949	120842110	NA	+
PPIAL4A	chr1	120889746	120890405	NA	+
FAM72B	chr1	121167646	121185539	NA	-
SRGAP2C	chr1	121184811	121392874	NA	+
FAM72C	chr1	143955287	143971986	NA	-
NBPF15	chr1	144421386	144461674	NA	-
SRGAP2B	chr1	144887265	145095528	NA	-
FAM72D	chr1	145095974	145112696	NA	+
NBPF20	chr1	145289900	145405778	NA	-
GPR89A	chr1	145607988	145670650	NA	+
CD160	chr1	145719471	145739288	NA	+
RNF115	chr1	145738868	145824095	NA	-
POLR3C	chr1	145824088	145844402	NA	+
NUDT17	chr1	145845630	145848954	NA	+
PIAS3	chr1	145848522	145859836	NA	-
ITGA10	chr1	145891208	145910111	NA	-
PEX11B	chr1	145911350	145918717	NA	-
RBM8A	chr1	145917714	145927678	NA	-
LIX1L	chr1	145933423	145958017	NA	-
ANKRD34A	chr1	145959441	145964575	NA	-
POLR3GL	chr1	145964690	145978848	NA	+
NBPF10	chr1	146064711	146229000	NA	-
NBPF12	chr1	146938744	146996202	NA	+
PRKAB2	chr1	147155106	147172550	NA	-
FMO5	chr1	147175351	147243050	NA	-
CHD1L	chr1	147242654	147295765	NA	+
BCL9	chr1	147541501	147626216	NA	+
ACP6	chr1	147629652	147670524	NA	-
GPR89B	chr1	147928393	147993592	NA	+
NBPF11	chr1	148102046	148152322	NA	-
NBPF14	chr1	148531385	148679742	NA	-
PDE4DIP	chr1	148808181	149048286	NA	+
NBPF9	chr1	149054027	149103561	NA	-
NBPF19	chr1	149475045	149556361	NA	+
BOLA1	chr1	149887890	149900798	NA	+
SF3B4	chr1	149923317	149927803	NA	-
MTMR11	chr1	149928651	149936879	NA	-
OTUD7B	chr1	149937812	150010726	NA	-
VPS45	chr1	150067279	150145329	NA	+
PLEKHO1	chr1	150149183	150164720	NA	+
ANP32E	chr1	150218417	150236156	NA	-
CA14	chr1	150257251	150265078	NA	+
APH1A	chr1	150265399	150269580	NA	-
C1orf54	chr1	150268200	150280916	NA	+
MRPS21	chr1	150293861	150308979	NA	+
PRPF3	chr1	150321479	150353233	NA	+
RPRD2	chr1	150363091	150476566	NA	+
TARS2	chr1	150487364	150507609	NA	+
ECM1	chr1	150508062	150513789	NA	+
ADAMTSL4	chr1	150549369	150560937	NA	+
MCL1	chr1	150560895	150579738	NA	-
ENSA	chr1	150600851	150629612	NA	-
GOLPH3L	chr1	150646230	150697154	NA	-
CTSK	chr1	150794880	150809577	NA	-
ARNT	chr1	150809713	150876708	NA	-
SETDB1	chr1	150926263	150964744	NA	+
CERS2	chr1	150960583	150975003	NA	-
ANXA9	chr1	150982249	150995634	NA	+
MINDY1	chr1	150996086	151008375	NA	-
PRUNE1	chr1	151008420	151035713	NA	+
C1orf56	chr1	151047751	151051986	NA	+
CDC42SE1	chr1	151050971	151070325	NA	-
MLLT11	chr1	151060397	151069544	NA	+
GABPB2	chr1	151070578	151125542	NA	+
SEMA6C	chr1	151131685	151146664	NA	-
SCNM1	chr1	151156664	151170296	NA	+
LYSMD1	chr1	151159748	151165948	NA	-
TMOD4	chr1	151169986	151176284	NA	-
VPS72	chr1	151176304	151195321	NA	-
PIP5K1A	chr1	151197949	151249536	NA	+
PSMD4	chr1	151254709	151267479	NA	+
ZNF687	chr1	151281618	151292176	NA	+
PI4KB	chr1	151291797	151327715	NA	-
RFX5	chr1	151340640	151347326	NA	-
PSMB4	chr1	151399560	151401937	NA	+
POGZ	chr1	151402724	151459494	NA	-
CGN	chr1	151510510	151538692	NA	+
TUFT1	chr1	151540305	151583583	NA	+
SNX27	chr1	151612006	151699091	NA	+
MRPL9	chr1	151759647	151763496	NA	-
OAZ3	chr1	151762899	151771334	NA	+
TDRKH	chr1	151770107	151791416	NA	-
RORC	chr1	151806071	151831845	NA	-
THEM4	chr1	151870866	151909637	NA	-
S100A10	chr1	151982915	151993859	NA	-
S100A11	chr1	152032506	152047907	NA	-
S100A6	chr1	153534599	153536244	NA	-
S100A5	chr1	153537147	153541765	NA	-
S100A4	chr1	153543613	153550136	NA	-
S100A3	chr1	153547329	153549258	NA	-
S100A2	chr1	153561108	153567890	NA	-
S100A16	chr1	153606886	153613145	NA	-
S100A14	chr1	153614255	153616986	NA	-
S100A13	chr1	153618787	153631360	NA	-
S100A1	chr1	153627926	153632039	NA	+
CHTOP	chr1	153633982	153646306	NA	+
SNAPIN	chr1	153658703	153661852	NA	+
ILF2	chr1	153661788	153671028	NA	-
INTS3	chr1	153728050	153774808	NA	+
SLC27A3	chr1	153774354	153780157	NA	+
GATAD2B	chr1	153789030	153923360	NA	-
DENND4B	chr1	153929501	153946718	NA	-
CRTC2	chr1	153947669	153958615	NA	-
SLC39A1	chr1	153959099	153968184	NA	-
CREB3L4	chr1	153967534	153974361	NA	+
JTB	chr1	153974269	153977674	NA	-
RAB13	chr1	153981617	153986358	NA	-
RPS27	chr1	153990762	153992155	NA	+
NUP210L	chr1	153992685	154155116	NA	-
TPM3	chr1	154155304	154194648	NA	-
C1orf43	chr1	154206696	154220637	NA	-
UBAP2L	chr1	154220179	154271510	NA	+
HAX1	chr1	154272589	154275875	NA	+
ATP8B2	chr1	154325525	154351304	NA	+
IL6R	chr1	154405193	154469450	NA	+
UBE2Q1	chr1	154548577	154559028	NA	-
ADAR	chr1	154581695	154628013	NA	-
KCNN3	chr1	154697455	154870281	NA	-
PMVK	chr1	154924740	154936719	NA	-
PBXIP1	chr1	154944076	154956123	NA	-
PYGO2	chr1	154957026	154963853	NA	-
SHC1	chr1	154962298	154974395	NA	-
CKS1B	chr1	154974653	154979251	NA	+
FLAD1	chr1	154983338	154993111	NA	+
ZBTB7B	chr1	155002630	155018522	NA	+
DCST2	chr1	155018520	155033781	NA	-
DCST1	chr1	155033824	155050930	NA	+
ADAM15	chr1	155050566	155062775	NA	+
EFNA4	chr1	155063737	155069553	NA	+
EFNA3	chr1	155078837	155087538	NA	+
EFNA1	chr1	155127876	155134899	NA	+
SLC50A1	chr1	155135344	155138857	NA	+
DPM3	chr1	155139891	155140595	NA	-
KRTCAP2	chr1	155169408	155173475	NA	-
TRIM46	chr1	155173787	155184971	NA	+
THBS3	chr1	155195588	155209051	NA	-
MTX1	chr1	155208695	155213824	NA	+
GBA	chr1	155234452	155244699	NA	-
FAM189B	chr1	155247205	155255483	NA	-
SCAMP3	chr1	155255979	155262430	NA	-
CLK2	chr1	155262868	155278491	NA	-
HCN3	chr1	155277463	155289848	NA	+
FDPS	chr1	155308748	155320666	NA	+
RUSC1	chr1	155320894	155331114	NA	+
ASH1L	chr1	155335268	155563162	NA	-
MSTO1	chr1	155610205	155614951	NA	+
YY1AP1	chr1	155659443	155689000	NA	-
DAP3	chr1	155687960	155739010	NA	+
GON4L	chr1	155749659	155859400	NA	-
SYT11	chr1	155859567	155885199	NA	+
RIT1	chr1	155897808	155911404	NA	-
KHDC4	chr1	155913045	155934413	NA	-
ARHGEF2	chr1	155946851	156007070	NA	-
SSR2	chr1	156009048	156020951	NA	-
UBQLN4	chr1	156035299	156053798	NA	-
LAMTOR2	chr1	156054782	156058506	NA	+
RAB25	chr1	156061160	156070504	NA	+
MEX3A	chr1	156072013	156082465	NA	-
LMNA	chr1	156082573	156140081	NA	+
SLC25A44	chr1	156193932	156212796	NA	+
PMF1-BGLAP	chr1	156212982	156243332	NA	+
PMF1	chr1	156212993	156240042	NA	+
BGLAP	chr1	156242184	156243317	NA	+
PAQR6	chr1	156243320	156248117	NA	-
SMG5	chr1	156249224	156282825	NA	-
TMEM79	chr1	156282935	156293185	NA	+
GLMP	chr1	156290089	156295689	NA	-
CCT3	chr1	156308968	156367873	NA	-
TSACC	chr1	156337314	156346995	NA	+
RHBG	chr1	156369211	156385219	NA	+
MEF2D	chr1	156463727	156500779	NA	-
IQGAP3	chr1	156525405	156572604	NA	-
NAXE	chr1	156591756	156609507	NA	+
GPATCH4	chr1	156594301	156601496	NA	-
BCAN	chr1	156641390	156659532	NA	+
NES	chr1	156668763	156677407	NA	-
CRABP2	chr1	156699606	156705816	NA	-
ISG20L2	chr1	156721891	156728766	NA	-
RRNAD1	chr1	156728442	156736960	NA	+
MRPL24	chr1	156737303	156741590	NA	-
HDGF	chr1	156742109	156766925	NA	-
PRCC	chr1	156750610	156800815	NA	+
SH2D2A	chr1	156806243	156816848	NA	-
NTRK1	chr1	156815640	156881850	NA	+
PEAR1	chr1	156893698	156916429	NA	+
ARHGEF11	chr1	156934840	157045742	NA	-
ETV3	chr1	157121191	157138474	NA	-
KIRREL1	chr1	157993273	158100262	NA	+
DUSP23	chr1	159780932	159782543	NA	+
TAGLN2	chr1	159918107	159925507	NA	-
IGSF9	chr1	159927039	159945613	NA	-
PIGM	chr1	160024953	160031990	NA	-
IGSF8	chr1	160091340	160098943	NA	-
PEA15	chr1	160205380	160215376	NA	+
DCAF8	chr1	160215715	160262549	NA	-
PEX19	chr1	160276807	160286348	NA	-
COPA	chr1	160288594	160343273	NA	-
NCSTN	chr1	160343316	160358952	NA	+
VANGL2	chr1	160400564	160428670	NA	+
F11R	chr1	160995211	161021343	NA	-
TSTD1	chr1	161037631	161038977	NA	-
USF1	chr1	161039251	161045977	NA	-
ARHGAP30	chr1	161046946	161069970	NA	-
NECTIN4	chr1	161070998	161089558	NA	-
PFDN2	chr1	161100556	161118055	NA	-
NIT1	chr1	161118086	161125445	NA	+
DEDD	chr1	161120974	161132688	NA	-
UFC1	chr1	161152776	161158856	NA	+
USP21	chr1	161159450	161165723	NA	+
PPOX	chr1	161166056	161178013	NA	+
B4GALT3	chr1	161171310	161177968	NA	-
NDUFS2	chr1	161197104	161214723	NA	+
TOMM40L	chr1	161225939	161230746	NA	+
NR1I3	chr1	161229666	161238244	NA	-
MPZ	chr1	161304735	161309968	NA	-
SDHC	chr1	161314381	161363206	NA	+
CFAP126	chr1	161364733	161367876	NA	-
FCRLB	chr1	161721563	161728143	NA	+
DUSP12	chr1	161749758	161757238	NA	+
ATF6	chr1	161766298	161977574	NA	+
OLFML2B	chr1	161983192	162023869	NA	-
NOS1AP	chr1	162069691	162370475	NA	+
C1orf226	chr1	162378841	162386812	NA	+
UHMK1	chr1	162497251	162529631	NA	+
UAP1	chr1	162561506	162599842	NA	+
DDR2	chr1	162631373	162787405	NA	+
HSD17B7	chr1	162790702	162812823	NA	+
RGS5	chr1	163111121	163321791	NA	-
NUF2	chr1	163266576	163355764	NA	+
PBX1	chr1	164555584	164899296	NA	+
MGST3	chr1	165631213	165661796	NA	+
ALDH9A1	chr1	165662216	165698863	NA	-
TMCO1	chr1	165724293	165827755	NA	-
UCK2	chr1	165827614	165911618	NA	+
FAM78B	chr1	166057426	166167001	NA	-
POGK	chr1	166839447	166856359	NA	+
TADA1	chr1	166856510	166876264	NA	-
ILDR2	chr1	166895711	166975540	NA	-
POU2F1	chr1	167220876	167427345	NA	+
CREG1	chr1	167529117	167553805	NA	-
MPZL1	chr1	167721192	167791919	NA	+
MPC2	chr1	167916675	167937072	NA	-
DCAF6	chr1	167935783	168075843	NA	+
GPR161	chr1	168079542	168137667	NA	-
TIPRL	chr1	168178962	168202109	NA	+
SFT2D2	chr1	168225938	168253021	NA	+
TBX19	chr1	168280877	168314426	NA	+
ATP1B1	chr1	169105697	169132722	NA	+
NME7	chr1	169132531	169367948	NA	-
BLZF1	chr1	169367970	169396540	NA	+
SLC19A2	chr1	169463909	169485944	NA	-
F5	chr1	169511951	169586588	NA	-
C1orf112	chr1	169662007	169854080	NA	+
SELL	chr1	169690665	169711702	NA	-
METTL18	chr1	169792529	169794963	NA	-
SCYL3	chr1	169849631	169894267	NA	-
KIFAP3	chr1	169921326	170085208	NA	-
GORAB	chr1	170532131	170553834	NA	+
FMO1	chr1	171248471	171285978	NA	+
FMO4	chr1	171314183	171342084	NA	+
PRRC2C	chr1	171485530	171593511	NA	+
VAMP4	chr1	171700160	171742074	NA	-
DNM3	chr1	171841498	172418466	NA	+
PIGC	chr1	172370189	172444086	NA	-
SUCO	chr1	172532349	172611833	NA	+
TNFSF18	chr1	173039202	173050941	NA	-
TNFSF4	chr1	173183731	173207331	NA	-
PRDX6	chr1	173477330	173488815	NA	+
ANKRD45	chr1	173608336	173669851	NA	-
KLHL20	chr1	173714941	173786692	NA	+
CENPL	chr1	173799550	173824883	NA	-
DARS2	chr1	173824653	173858808	NA	+
ZBTB37	chr1	173868082	173903549	NA	+
RC3H1	chr1	173931084	174022357	NA	-
RABGAP1L	chr1	174159410	174995308	NA	+
CACYBP	chr1	174999163	175012027	NA	+
MRPS14	chr1	175010789	175023425	NA	-
KIAA0040	chr1	175156986	175192999	NA	-
COP1	chr1	175944831	176207286	NA	-
SEC16B	chr1	177923956	177984303	NA	-
RASAL2	chr1	178094104	178484147	NA	+
RALGPS2	chr1	178725147	178921841	NA	+
FAM20B	chr1	179025804	179076567	NA	+
TOR3A	chr1	179082070	179098023	NA	+
ABL2	chr1	179099330	179229684	NA	-
SOAT1	chr1	179293714	179358680	NA	+
AXDND1	chr1	179365720	179554735	NA	+
TOR1AIP2	chr1	179839967	179877803	NA	-
TOR1AIP1	chr1	179882042	179920077	NA	+
CEP350	chr1	179954773	180114875	NA	+
QSOX1	chr1	180154869	180204030	NA	+
LHX4	chr1	180230264	180278984	NA	+
ACBD6	chr1	180269653	180502954	NA	-
XPR1	chr1	180632022	180890279	NA	+
KIAA1614	chr1	180912897	180951614	NA	+
STX6	chr1	180972712	181023121	NA	-
MR1	chr1	181033374	181061938	NA	+
IER5	chr1	181088700	181092900	NA	+
ZNF648	chr1	182054570	182061712	NA	-
GLUL	chr1	182378098	182392206	NA	-
RNASEL	chr1	182573634	182589256	NA	-
RGS16	chr1	182598623	182604389	NA	-
DHX9	chr1	182839347	182887982	NA	+
LAMC1	chr1	183023420	183145592	NA	+
LAMC2	chr1	183186238	183245127	NA	+
SMG7	chr1	183472216	183598246	NA	+
ARPC5	chr1	183620846	183635783	NA	-
RGL1	chr1	183636085	183928532	NA	+
TSEN15	chr1	184051651	184123978	NA	+
C1orf21	chr1	184387029	184629019	NA	+
EDEM3	chr1	184690237	184754907	NA	-
RNF2	chr1	185045526	185102603	NA	+
TRMT1L	chr1	185118101	185157072	NA	-
SWT1	chr1	185157080	185291781	NA	+
IVNS1ABP	chr1	185296388	185317273	NA	-
HMCN1	chr1	185734391	186190949	NA	+
PRG4	chr1	186296279	186314567	NA	+
TPR	chr1	186311652	186375693	NA	-
ODR4	chr1	186375838	186421378	NA	+
PTGS2	chr1	186671791	186680922	NA	-
PLA2G4A	chr1	186828949	186988981	NA	+
RGS2	chr1	192809039	192812275	NA	+
UCHL5	chr1	193012250	193060080	NA	-
GLRX2	chr1	193090866	193106114	NA	-
CDC73	chr1	193121983	193254815	NA	+
B3GALT2	chr1	193178730	193186613	NA	-
ASPM	chr1	197084121	197146694	NA	-
ZBTB41	chr1	197153682	197201293	NA	-
DENND1B	chr1	197504748	197775696	NA	-
C1orf53	chr1	197902630	197907367	NA	+
NEK7	chr1	198156994	198322420	NA	+
NR5A2	chr1	200027614	200177420	NA	+
ZNF281	chr1	200404940	200410056	NA	-
KIF14	chr1	200551497	200620751	NA	-
DDX59	chr1	200623896	200669907	NA	-
CAMSAP2	chr1	200739558	200860704	NA	+
INAVA	chr1	200891048	200915742	NA	+
KIF21B	chr1	200969390	201023714	NA	-
TMEM9	chr1	201134772	201171574	NA	-
LAD1	chr1	201380833	201399915	NA	-
TNNI1	chr1	201403768	201429866	NA	-
PHLDA3	chr1	201464278	201469237	NA	-
CSRP1	chr1	201483530	201509456	NA	-
NAV1	chr1	201622885	201826969	NA	+
IPO9	chr1	201829149	201884291	NA	+
SHISA4	chr1	201888680	201892587	NA	+
TIMM17A	chr1	201955503	201970664	NA	+
RNPEP	chr1	201982372	202006147	NA	+
ELF3	chr1	202007945	202017183	NA	+
GPR37L1	chr1	202122886	202133592	NA	+
ARL8A	chr1	202133404	202144743	NA	-
UBE2T	chr1	202331657	202341980	NA	-
PPP1R12B	chr1	202348699	202592706	NA	+
KDM5B	chr1	202724495	202808487	NA	-
RABIF	chr1	202878282	202889149	NA	-
KLHL12	chr1	202891116	202928636	NA	-
ADIPOR1	chr1	202940826	202958572	NA	-
CYB5R1	chr1	202961873	202967275	NA	-
TMEM183A	chr1	203007374	203024848	NA	+
PPFIA4	chr1	203026498	203078740	NA	+
ADORA1	chr1	203090654	203167405	NA	+
BTG2	chr1	203305491	203309602	NA	+
ATP2B4	chr1	203626787	203744081	NA	+
ZC3H11A	chr1	203795623	203854999	NA	+
ZBED6	chr1	203795714	203854999	NA	+
SNRPE	chr1	203861599	203871152	NA	+
SOX13	chr1	204073115	204127743	NA	+
ETNK2	chr1	204131062	204152044	NA	-
GOLT1A	chr1	204198163	204213988	NA	-
PLEKHA6	chr1	204218853	204377665	NA	-
PPP1R15B	chr1	204403381	204411817	NA	-
PIK3C2B	chr1	204422628	204494805	NA	-
MDM4	chr1	204516379	204558120	NA	+
LRRN2	chr1	204617170	204685738	NA	-
TMEM81	chr1	205083129	205084460	NA	-
RBBP5	chr1	205086142	205122015	NA	-
DSTYK	chr1	205142505	205211702	NA	-
TMCC2	chr1	205227946	205285632	NA	+
NUAK2	chr1	205302063	205321745	NA	-
LEMD1	chr1	205381378	205455954	NA	-
BLACAT1	chr1	205434885	205457091	NA	-
CDK18	chr1	205504596	205532793	NA	+
MFSD4A	chr1	205568885	205602918	NA	+
ELK4	chr1	205597556	205632011	NA	-
SLC45A3	chr1	205657851	205680509	NA	-
NUCKS1	chr1	205712822	205750182	NA	-
RAB29	chr1	205767986	205775482	NA	-
SLC41A1	chr1	205789094	205813748	NA	-
FAM72A	chr1	206186179	206204414	NA	-
SRGAP2	chr1	206203346	206464436	NA	+
IKBKE	chr1	206470476	206496889	NA	+
RASSF5	chr1	206507531	206589448	NA	+
EIF2D	chr1	206571292	206612465	NA	-
DYRK3	chr1	206635536	206684419	NA	+
MAPKAPK2	chr1	206684905	206734281	NA	+
C1orf116	chr1	207018522	207032756	NA	-
PFKFB2	chr1	207034366	207081024	NA	+
YOD1	chr1	207043849	207052980	NA	-
CD55	chr1	207321532	207386804	NA	+
CR2	chr1	207454230	207489895	NA	+
CD46	chr1	207752054	207795513	NA	+
PLXNA2	chr1	208022242	208244384	NA	-
LAMB3	chr1	209614870	209652425	NA	-
TRAF3IP3	chr1	209756032	209782320	NA	+
C1orf74	chr1	209779208	209784559	NA	-
IRF6	chr1	209785617	209806175	NA	-
HHAT	chr1	210328252	210676296	NA	+
RCOR3	chr1	211258377	211316385	NA	+
TRAF5	chr1	211326615	211374946	NA	+
SLC30A1	chr1	211571568	211579161	NA	-
NEK2	chr1	211658657	211675630	NA	-
LPGAT1	chr1	211743457	211830763	NA	-
INTS7	chr1	211940399	212035557	NA	-
DTL	chr1	212035553	212107400	NA	+
PPP2R5A	chr1	212285410	212361853	NA	+
NENF	chr1	212432920	212446379	NA	+
ATF3	chr1	212565334	212620777	NA	+
BATF3	chr1	212686417	212699840	NA	-
NSL1	chr1	212726153	212791782	NA	-
TATDN3	chr1	212791828	212816830	NA	+
FLVCR1	chr1	212858275	212899363	NA	+
VASH2	chr1	212950520	212992037	NA	+
ANGEL2	chr1	212992182	213015867	NA	-
RPS6KC1	chr1	213051233	213274774	NA	+
SMYD2	chr1	214281102	214337131	NA	+
PTPN14	chr1	214348700	214552449	NA	-
CENPF	chr1	214603195	214664571	NA	+
KCTD3	chr1	215567304	215621807	NA	+
GPATCH2	chr1	217426992	217631090	NA	-
SPATA17	chr1	217631324	217871696	NA	+
RRP15	chr1	218285293	218337983	NA	+
TGFB2	chr1	218345336	218444619	NA	+
LYPLAL1	chr1	219173869	219212865	NA	+
ZC3H11B	chr1	219608010	219613145	NA	-
BPNT1	chr1	220057482	220090462	NA	-
IARS2	chr1	220094132	220148041	NA	+
RAB3GAP2	chr1	220148293	220272453	NA	-
MARK1	chr1	220528136	220664461	NA	+
C1orf115	chr1	220690363	220699153	NA	+
DUSP10	chr1	221701424	221742089	NA	-
TAF1A	chr1	222557902	222589933	NA	-
MIA3	chr1	222618097	222668007	NA	+
AIDA	chr1	222668013	222713210	NA	-
BROX	chr1	222712553	222735196	NA	+
DISP1	chr1	222815022	223005995	NA	+
TLR5	chr1	223109404	223143248	NA	-
CAPN2	chr1	223701593	223776018	NA	+
TP53BP2	chr1	223779893	223845954	NA	-
FBXO28	chr1	224114111	224162047	NA	+
DEGS1	chr1	224175756	224193441	NA	+
NVL	chr1	224227334	224330189	NA	-
CNIH4	chr1	224356858	224379459	NA	+
WDR26	chr1	224385146	224437033	NA	-
DNAH14	chr1	224896262	225399292	NA	+
LBR	chr1	225401502	225428925	NA	-
ENAH	chr1	225486835	225653142	NA	-
SRP9	chr1	225777813	225790468	NA	+
EPHX1	chr1	225810124	225845563	NA	+
TMEM63A	chr1	225845536	225882380	NA	-
PYCR2	chr1	225919877	225924340	NA	-
SDE2	chr1	225982702	225999343	NA	-
ACBD3	chr1	226144679	226186741	NA	-
LIN9	chr1	226231149	226309869	NA	-
PARP1	chr1	226360210	226408154	NA	-
ITPKB	chr1	226631690	226739323	NA	-
PSEN2	chr1	226870184	226927726	NA	+
COQ8A	chr1	226940286	226987544	NA	+
CDC42BPA	chr1	226989865	227318502	NA	-
ZNF678	chr1	227563543	227677443	NA	+
SNAP47	chr1	227728200	227781826	NA	+
JMJD4	chr1	227730425	227735411	NA	-
WNT9A	chr1	227918656	227947932	NA	-
WNT3A	chr1	228006998	228061271	NA	+
ARF1	chr1	228082660	228099212	NA	+
C1orf35	chr1	228100726	228105411	NA	-
MRPL55	chr1	228106679	228109312	NA	-
GUK1	chr1	228139962	228148984	NA	+
IBA57	chr1	228165804	228182257	NA	+
OBSCN	chr1	228208044	228378876	NA	+
TRIM11	chr1	228393673	228406835	NA	-
TRIM17	chr1	228407935	228416861	NA	-
RNF187	chr1	228487382	228496188	NA	+
RHOU	chr1	228735479	228746664	NA	+
